target,text
ham,Bbq this sat at mine from 6ish. Ur welcome 2 come
spam,Santa calling! Would your little ones like a call from Santa Xmas Eve? Call 09077818151 to book you time. Calls1.50ppm last 3mins 30s T&C www.santacalling.com
ham,Oh dang! I didn't mean o send that to you! Lol!
ham,Auntie huai juan never pick up her phone
ham,Can. Dunno wat to get 4 her...
ham,Sday only joined.so training we started today:)
ham,Where are you ? You said you would be here when I woke ... :-(
ham,Loosu go to hospital. De dont let it careless.
ham,Jokin only lar... :-) depends on which phone my father can get lor...
ham,"I call you later, don't have network. If urgnt, sms me."
spam,INTERFLORA - åÒIt's not too late to order Interflora flowers for christmas call 0800 505060 to place your order before Midnight tomorrow.
ham,It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.
ham,Usually the person is unconscious that's in children but in adults they may just behave abnormally. I.ll call you now
ham,Of course ! Don't tease me ... You know I simply must see ! *grins* ... Do keep me posted my prey ... *loving smile* *devouring kiss*
ham,Never y lei... I v lazy... Got wat? Dat day Ì_ send me da url cant work one...
ham,Cheers for the card ... Is it that time of year already?
ham,I'm good. Have you registered to vote?
spam,Cashbin.co.uk (Get lots of cash this weekend!) www.cashbin.co.uk Dear Welcome to the weekend We have got our biggest and best EVER cash give away!! These..
spam,08714712388 between 10am-7pm Cost 10p
ham,Dont put your phone on silent mode ok
ham,You still around? I could use a half-8th
ham,"Sorry I missed you babe. I was up late and slept in. I hope you enjoy your driving lesson, boytoy. I miss you too ... *teasing kiss*"
ham,Hey mr whats the name of that bill brison book the one about language and words 
ham,How have your little darlings been so far this week? Need a coffee run tomo?Can't believe it's that time of week already Û_
ham,Ugh I don't wanna get out of bed. It's so warm.
ham,No message..no responce..what happend?
ham,After completed degree. There is no use in joining finance.
ham,"The world is running and i am still.maybe all are feeling the same,so be it.or i have to admit,i am mad.then where is the correction?or let me call this is life.and keep running with the world,may be u r also running.lets run."
ham,Wat so late still early mah. Or we juz go 4 dinner lor. Aiya i dunno...
ham,Ok darlin i supose it was ok i just worry too much.i have to do some film stuff my mate and then have to babysit again! But you can call me there.xx
ham,When can Ì_ come out?
ham,Then anything special?
ham,Hey company elama po mudyadhu.
spam,"Mila, age23, blonde, new in UK. I look sex with UK guys. if u like fun with me. Text MTALK to 69866.18 . 30pp/txt 1st 5free. å£1.50 increments. Help08718728876"
ham,What type of stuff do you sing?
ham,\YEH I AM DEF UP4 SOMETHING SAT
ham,Wat r u doing?
spam,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com
ham,U know we watchin at lido?
ham,I want to go to perumbavoor
ham,If he started searching he will get job in few days.he have great potential and talent.
ham,Hi there. We have now moved in2 our pub . Would be great 2 c u if u cud come up.
ham,Probably gonna swing by in a wee bit
ham,Y Ì_ wan to go there? C doctor?
spam,Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU
ham,"Ah, well that confuses things, doesnt it? I thought was friends with now. Maybe i did the wrong thing but i already sort of invited -tho he may not come cos of money."
ham,"Friendship is not a game to play, It is not a word to say, It doesn\'t start on March and ends on May, It is tomorrow, yesterday, today and e"
spam,"Thanks for your ringtone order, reference number X49.Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182"
ham,Congrats kano..whr s the treat maga?
ham,Oh ok i didnt know what you meant. Yep i am baby jontin
ham,Wat uniform? In where get?
ham,Dear we got  &lt;#&gt;  dollars hi hi
spam,Ur TONEXS subscription has been renewed and you have been charged å£4.50. You can choose 10 more polys this month. www.clubzed.co.uk *BILLING MSG*
ham,Havent.
ham,How is your schedule next week? I am out of town this weekend.
ham,Good words.... But words may leave u in dismay many times.
ham,I'll pick you up at about 5.15pm to go to taunton if you still want to come.
ham,Mm so you asked me not to call radio
ham,"Hmm... Dunno leh, mayb a bag 4 goigng out dat is not too small. Or jus anything except perfume, smth dat i can keep."
ham,How. Its a little difficult but its a simple way to enter this place
ham,We are pleased to inform that your application for Airtel Broadband is processed successfully. Your installation will happen within 3 days.
ham,Joy's father is John. Then John is the NAME of Joy's father. Mandan
ham,"Good afternoon sunshine! How dawns that day ? Are we refreshed and happy to be alive? Do we breathe in the air and smile ? I think of you, my love ... As always"
ham,K then 2marrow are you coming to class.
spam,U are subscribed to the best Mobile Content Service in the UK for å£3 per ten days until you send STOP to 83435. Helpline 08706091795.
ham,Is there a reason we've not spoken this year? Anyways have a great week and all the best in your exam
ham,"Omw back to tampa from west palm, you hear what happened?"
ham,I have a rather prominent bite mark on my right cheek
ham,Have you finished work yet? :)
spam,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk
spam,U are subscribed to the best Mobile Content Service in the UK for å£3 per 10 days until you send STOP to 82324. Helpline 08706091795
ham,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..
ham,"Dear Hero,i am leaving to qatar tonite for an apt opportunity.pls do keep in touch at  &lt;EMAIL&gt; ,kerala"
ham,Yes:)sura in sun tv.:)lol.
ham,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
ham,That's y we haf to combine n c how lor...
ham,That's ok. I popped in to ask bout something and she said you'd been in. Are you around tonght wen this girl comes?
ham,Just come home. I don't want u to be miserable
ham,You'll never believe this but i have actually got off at taunton. Wow
ham,Can Ì_ send me a copy of da report?
ham,ÌÏ come lt 25 n pass to me lar
ham,If you still havent collected the dough pls let me know so i can go to the place i sent it to get the control number
spam,Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394514 From Landline DATEBox1282EssexCM61XN 150p/min 18
ham,"Hi, can i please get a  &lt;#&gt;  dollar loan from you. I.ll pay you back by mid february. Pls."
ham,Is it your yahoo boys that bring in the perf? Or legal.
spam,Sunshine Quiz! Win a super Sony DVD recorder if you canname the capital of Australia? Text MQUIZ to 82277. B
ham,1's finish meeting call me.
ham,"Princess, is your kitty shaved or natural?"
spam,Do you want 750 anytime any network mins 150 text and a NEW VIDEO phone for only five pounds per week call 08002888812 or reply for delivery tomorrow
ham,I'm not driving... Raining! Then i'll get caught at e mrt station lor.
ham,"Aight that'll work, thanks"
ham,In fact when do you leave? I think addie goes back to school tues or wed
ham,"Dont search love, let love find U. Thats why its called falling in love, bcoz U dont force yourself, U just fall and U know there is smeone to hold U... BSLVYL"
spam,Moby Pub Quiz.Win a å£100 High Street prize if u know who the new Duchess of Cornwall will be? Txt her first name to 82277.unsub STOP å£1.50 008704050406 SP Arrow
ham,ok. I am a gentleman and will treat you with dignity and respect.
ham,Hey leave it. not a big deal:-) take care.
ham,I told your number to gautham..
ham,You are right though. I can't give you the space you want and need. This is really starting to become an issue. I was going to suggest setting a definite move out--if i'm still there-- after greece. But maybe you are ready and should do it now.
ham,Finish already... Yar they keep saying i mushy... I so embarrassed ok...
ham,K k :-):-) then watch some films.
ham,Ok lor... Or u wan me go look 4 u?
ham,So when do you wanna gym harri
ham,Lol great now im getting hungry.
ham,I knew it... U slept v late yest? Wake up so late...
ham,Are you up for the challenge? I know i am :)
ham,Prabha..i'm soryda..realy..frm heart i'm sory
ham,"Its ok chikku, and its my 1 of favourite song..:-)"
spam,Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth å£33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk
ham,"Hi, wkend ok but journey terrible. Wk not good as have huge back log of marking to do"
ham,As if i wasn't having enough trouble sleeping.
ham,"Miss ya, need ya, want ya, love ya."
ham,Many times we lose our best ones bcoz we are 
ham,I hope you that's the result of being consistently intelligent and kind. Start asking him about practicum links and keep your ears open and all the best. ttyl
ham,"I'm an actor. When i work, i work in the evening and sleep late. Since i'm unemployed at the moment, i ALWAYS sleep late. When you're unemployed, every day is saturday."
ham,Wylie update: my weed dealer carlos went to freedom and had a class with lunsford
ham,"Alright, we're all set here, text the man"
ham,Studying. But i.ll be free next weekend.
ham,That is wondarfull song
ham,Hey! Congrats 2u2. id luv 2 but ive had 2 go home!
spam,money!!! you r a lucky winner ! 2 claim your prize text money 2 88600 over å£1million to give away ! ppt150x3+normal text rate box403 w1t1jy
ham,Leave it de:-). Start Prepare for next:-)..
ham,I think i am disturbing her da
ham,Hey what how about your project. Started aha da.
ham,Watching tv lor...
ham,"Hello, my love! How goes that day ? I wish your well and fine babe and hope that you find some job prospects. I miss you, boytoy ... *a teasing kiss*"
ham,I havent lei.. Next mon can?
spam,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594
ham,No. Did you multimedia message them or e-mail?
ham,Now got tv 2 watch meh? U no work today?
ham,"I don,t think so. You don't need to be going out that late on a school night. ESPECIALLY when the one class you have is the one you missed last wednesday and probably failed a test in on friday"
ham,No. On the way home. So if not for the long dry spell the season would have been over
ham,Yes but I don't care cause I know its there!
ham,"Babe! How goes that day ? What are you up to ? I miss you already, my Love ... * loving kiss* ... I hope everything goes well."
ham,That's a shame! Maybe cld meet for few hrs tomo?
ham,Ok lor.
ham,Gettin rdy to ship comp
spam,Someone has contacted our dating service and entered your phone because they fancy you! To find out who it is call from a landline 09111032124 . PoBox12n146tf150p
ham,If I die I want u to have all my stuffs.
ham,"He said that he had a right giggle when he saw u again! You would possibly be the first person2die from NVQ, but think how much you could for! "
ham,Ok lor wat time Ì_ finish?
ham,We have all rounder:)so not required:)
ham,You still around? Looking to pick up later
spam,"Someone has contacted our dating service and entered your phone becausethey fancy you! To find out who it is call from a landline 09058098002. PoBox1, W14RG 150p"
ham,Hi..i got the money da:)
ham,Why didn't u call on your lunch?
ham,Haha... can... But i'm having dinner with my cousin...
ham,My uncles in Atlanta. Wish you guys a great semester.
ham,Actually getting ready to leave the house.
spam,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599
ham,Not thought bout it... || Drink in tap & spile at seven. || Is that pub on gas st off broad st by canal. || Ok?
ham,I'm always on yahoo messenger now. Just send the message to me and i.ll get it you may have to send it in the mobile mode sha but i.ll get it. And will reply.
ham,Hai ana tomarrow am coming on morning.  &lt;DECIMAL&gt;  ill be there in sathy then we ll go to RTO office. Reply me after came to home.
ham,Mm not entirely sure i understood that text but hey. Ho. Which weekend?
ham,"K, wait chikku..il send aftr  &lt;#&gt; mins"
ham,(That said can you text him one more time?)
ham,No need for the drug anymore.
ham,Nope thats fine. I might have a nap tho! 
ham,"wiskey Brandy Rum Gin Beer Vodka Scotch Shampain Wine \KUDI\""yarasu dhina vaazhthukkal. .."""
ham,Hi Dear Call me its urgnt. I don't know whats your problem. You don't want to work or if you have any other problem at least tell me. Wating for your reply.
ham,K.:)do it at evening da:)urgent:)
spam,"URGENT! Your Mobile No 07808726822 was awarded a å£2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9758 BOX95QU"
ham,Lul im gettin some juicy gossip at the hospital. Two nurses are talking about how fat they are gettin. And one thinks shes obese. Oyea.
ham,I bought the test yesterday. Its something that lets you know the exact day u ovulate.when will get 2u in about 2 to 3wks. But pls pls dont fret. I know u r worried. Pls relax. Also is there anything in ur past history u need to tell me?
spam,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com
spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a å£900 prize GUARANTEED. Call 09061701851. Claim code K61. Valid 12hours only
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08718738002 Identifier Code: 48922 Expires 21/11/04
ham,I havent add Ì_ yet right.. 
ham,I thk u dun haf 2 hint in e forum already lor... Cos i told ron n darren is going 2 tell shuhui.
ham,"Dear,Me at cherthala.in case u r coming cochin pls call bfore u start.i shall also reach accordingly.or tell me which day u r coming.tmorow i am engaged ans its holiday."
ham,U in town alone?
ham,He's just gonna worry for nothing. And he won't give you money its no use.
spam,"Hi this is Amy, we will be sending you a free phone number in a couple of days, which will give you an access to all the adult parties..."
ham,Eh sorry leh... I din c ur msg. Not sad already lar. Me watching tv now. U still in office?
ham,X2  &lt;#&gt; . Are you going to get that
ham,I want to send something that can sell fast.  &lt;#&gt; k is not easy money.
ham,Yes we were outside for like 2 hours. And I called my whole family to wake them up cause it started at 1 am
ham,Yup
ham,And popping &lt;#&gt; ibuprofens was no help.
ham,"Especially since i talk about boston all up in my personal statement, lol! I woulda changed that if i had realized it said nyc! It says boston now."
ham,"Sorry, I can't text &amp; drive coherently, see you in twenty"
spam,LIFE has never been this much fun and great until you came in. You made it truly special for me. I won't forget you! enjoy @ one gbp/sms
ham,I think chennai well settled?
ham,You bad girl. I can still remember them
ham,"\AH POOR BABY!HOPE URFEELING BETTERSN LUV! PROBTHAT OVERDOSE OF WORK HEY GO CAREFUL SPK 2 U SN LOTS OF LOVEJEN XXX.\"""""
ham,In life when you face choices Just toss a coin not becoz its settle the question But while the coin in the air U will know what your heart is hoping for. Gudni8
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send COLLECT to 83600 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1
ham,Oh ho. Is this the first time u use these type of words
spam,Free tones Hope you enjoyed your new content. text stop to 61610 to unsubscribe. help:08712400602450p Provided by tones2you.co.uk
ham,Does daddy have a bb now.
ham,Can you call me plz. Your number shows out of coveragd area. I have urgnt call in vasai &amp; have to reach before 4'o clock so call me plz
ham,Call me when u're done...
ham,"Sorry, I'll call later"
ham,"\Happy valentines day\"" I know its early but i have hundreds of handsomes and beauties to wish. So i thought to finish off aunties and uncles 1st..."""
ham,"Cool, text me when you're ready"
ham,Well then you have a great weekend!
ham,"Call me, i am senthil from hsbc."
ham,Ya:)going for restaurant..
ham,That was random saw my old roomate on campus. He graduated
ham,Have a great trip to India. And bring the light to everyone not just with the project but with everyone that is lucky to see you smile. Bye. Abiola
ham,Hi its me you are probably having too much fun to get this message but i thought id txt u cos im bored! and james has been farting at me all night
ham,"Do 1 thing! Change that sentence into: \Because i want 2 concentrate in my educational career im leaving here..\"""""
ham,Hmmm.still we dont have opener?
ham,Lil fever:) now fine:)
ham,Let me know if you need anything else. Salad or desert or something... How many beers shall i get?
ham,MAYBE IF YOU WOKE UP BEFORE FUCKING 3 THIS WOULDN'T BE A PROBLEM.
ham,Forgot to tell Ì_ smth.. Can Ì_ like number the sections so that it's clearer..
ham,Yup i'm still having coffee wif my frens... My fren drove she'll give me a lift...
ham,"&lt;#&gt; %of pple marry with their lovers... becz they hav gud undrstndng dat avoids problems. i sent dis 2 u, u wil get gud news on friday by d person you like. And tomorrow will be the best day of your life. Dont break this chain. If you break you will suffer. send this to  &lt;#&gt;  frnds in &lt;#&gt;  mins whn u read..."
spam,FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone
ham,Yup... I havent been there before... You want to go for the yoga? I can call up to book 
ham,U buy newspapers already?
ham,I dont know oh. Hopefully this month.
ham,Sindu got job in birla soft ..
ham,Yay can't wait to party together!
ham,"Each Moment in a day,has its own value-Morning brings hope,afternoon brings faith,Evening brings luv,Night brings rest,Wish u find them all today.Good Morning"
ham,What's up my own oga. Left my phone at home and just saw ur messages. Hope you are good. Have a great weekend.
ham,"I think IÛ÷m waiting for the same bus! Inform me when you get there, if you ever get there."
spam,ree entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+
ham,I got a call from a landline number. . . I am asked to come to anna nagar . . . I will go in the afternoon
ham,U studying in sch or going home? Anyway i'll b going 2 sch later.
ham,If I get there before you after your ten billion calls and texts so help me god
spam,This is the 2nd time we have tried to contact u. U have won the å£1450 prize to claim just call 09053750005 b4 310303. T&Cs/stop SMS 08718725756. 140ppm
ham,K. I will sent it again
spam,Boltblue tones for 150p Reply POLY# or MONO# eg POLY3 1. Cha Cha Slide 2. Yeah 3. Slow Jamz 6. Toxic 8. Come With Me or STOP 4 more tones txt MORE
ham,No da..today also i forgot..
ham,One day a crab was running on the sea shore..The waves came n cleared the footprints of the crab.. Crab asked: being my frnd y r u clearing my beautiful footprints? Waves replied: A fox was following ur footprints to catch you! thats y i cleared it off:) frndsship never lets u dwn :-) GUD nyt..
ham,Poor girl can't go one day lmao
ham,So wat's da decision?
ham,My house here e sky quite dark liao... If raining then got excuse not 2 run already rite... Hee...
ham,Yup but it's not giving me problems now so mayb i'll jus leave it...
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1
ham,As usual u can call me ard 10 smth.
spam,"For ur chance to win a å£250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk"
ham,Nothin comes to my mind. ÌÏ help me buy hanger lor. Ur laptop not heavy?
ham,"My sister in law, hope you are having a great month. Just saying hey. Abiola"
ham,"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. take cr da"
ham,"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense."
ham,Super msg da:)nalla timing.
ham,"Guy, no flash me now. If you go call me, call me. How madam. Take care oh."
ham,"It'll be tough, but I'll do what I have to"
ham,"Ok thats cool. Its , just off either raglan rd or edward rd. Behind the cricket ground. Gimme ring when ur closeby see you tuesday."
ham,No go. No openings for that room 'til after thanksgiving without an upcharge.
ham,Ha ha ha good joke. Girls are situation seekers.
ham,Should i send you naughty pix? :)
spam,Get a brand new mobile phone by being an agent of The Mob! Plus loads more goodies! For more info just text MAT to 87021.
spam,"Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply. To stop texts, txt STOP to 80062"
ham,I'm home...
ham,ELLO BABE U OK?
spam,"Dear Matthew please call 09063440451 from a landline, your complimentary 4*Lux Tenerife holiday or å£1000 CASH await collection. ppm150 SAE T&Cs Box334 SK38XH."
ham,"Vikky, come around  &lt;TIME&gt; .."
ham,If u dun drive then how i go 2 sch.
spam,8007 FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W4 5WQ norm 150p/tone 16+
ham,"Sorry pa, i dont knw who ru pa?"
ham,"I'm in a meeting, call me later at"
spam,"For ur chance to win a å£250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk"
ham,Really... I tot ur paper ended long ago... But wat u copied jus now got use? U happy lar... I still haf 2 study :-(
ham,Havent stuck at orchard in my dad's car. Going 4 dinner now. U leh? So r they free tonight?
ham,Sir send to group mail check it.
ham,Good morning pookie pie! Lol hope I didn't wake u up
spam,"Loan for any purpose å£500 - å£75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'"
ham,staff.science.nus.edu.sg/~phyhcmk/teaching/pc1323
ham,Glad it went well :) come over at 11 then we'll have plenty of time before claire goes to work.
spam,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW
ham,No other Valentines huh? The proof is on your fb page. Ugh I'm so glad I really DIDN'T watch your rupaul show you TOOL!
ham,Went to pay rent. So i had to go to the bank to authorise the payment.
ham,dont make ne plans for nxt wknd coz she wants us to come down then ok
ham,You call times job today ok umma and ask them to speed up
ham,what I meant to say is cant wait to see u again getting bored of this bridgwater banter
ham,Buzzzz! *grins* Did I buzz your ass? Buzz your chest ? Buzz your cock ? Where do you keep your phone ? Is the vibrator on ? Did you feel it shake ?
ham,"\Pete can you please ring meive hardly gotany credit\"""""
ham,Oooh bed ridden ey? What are YOU thinking of?
ham,Its ok my arm is feeling weak cuz i got a shot so we can go another time
ham,Prof: you have passed in all the papers in this sem congrats . . . . Student: Enna kalaachutaarama..!! Prof:???? Gud mrng!
ham,Dunno i juz askin cos i got a card got 20% off 4 a salon called hair sense so i tot it's da one Ì_ cut ur hair. 
ham,She's fine. Sends her greetings
ham,Hi dear we saw dear. We both are happy. Where you my battery is low
ham,Have you bookedthe hut? And also your time off? How are you by the way?
ham,Should I tell my friend not to come round til like  &lt;#&gt; ish?
ham,Did u got that persons story
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone
ham,I went to project centre
ham,Hey... Why dont we just go watch x men and have lunch... Haha 
ham,"Thank you. And by the way, I just lost."
ham,I think just yourself Û_Thanks and see you tomo
ham,Hey what's up charles sorry about the late reply.
ham,K:)eng rocking in ashes:)
spam,FreeMsg:Feelin kinda lnly hope u like 2 keep me company! Jst got a cam moby wanna c my pic?Txt or reply DATE to 82242 Msg150p 2rcv Hlp 08712317606 stop to 82242
ham,I will be outside office take all from there
ham,"Oh, the grand is having a bit of a party but it doesn't mention any cover charge so it's probably first come first served"
spam,Please CALL 08712402779 immediately as there is an urgent message waiting for you
ham,Hai priya are you right. What doctor said pa. Where are you.
ham,Dear good morning now only i am up
ham,Then u drive lor.
ham,Lol I would but despite these cramps I like being a girl.
ham,Happy New Year Princess!
spam,"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p "
ham,"Arngd marriage is while u r walkin unfortuntly a snake bites u. bt love marriage is dancing in frnt of d snake &amp; sayin Bite me, bite me."
ham,"Once a fishrman woke early in d mrng. It was very dark. He waited a while &amp; found a sack ful of stones. He strtd throwin thm in2 d sea 2 pass time. Atlast he had jus 1stone, sun rose up &amp; he found out tht those r nt stones, those were diamonds. Moral:\Dont wake up early in d mrng'' GOOD night"""
ham,No she didnt. I will search online and let you know.
ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?"
ham,"The table's occupied, I'm waiting by the tree"
ham,I'm coming home 4 dinner.
ham,Tell your friends what you plan to do on Valentines day @ &lt;URL&gt;
ham,We're done...
ham,I dont understand your message.
spam,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES"
ham,Wat r u doing?
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.
ham,If you are not coughing then its nothing
ham,No plm i will come da. On the way.
ham,Yeah it's jus rite...
ham,Lol yeah at this point I guess not
ham,"Alright, I'll head out in a few minutes, text me where to meet you"
ham,Thanks love. But am i doing torch or bold.
ham,"Yun ah.the ubi one say if Ì_ wan call by tomorrow.call 67441233 look for irene.ere only got bus8,22,65,61,66,382. Ubi cres,ubi tech park.6ph for 1st 5wkg days.Ì¬n"
ham,Ok. Not sure what time tho as not sure if can get to library before class. Will try. See you at some point! Have good eve.
ham,How are you. Its been ages. How's abj
ham,"Ok., is any problem to u frm him? Wats matter?"
ham,Hello! How r u? Im bored. Inever thought id get bored with the tv but I am. Tell me something exciting has happened there? Anything! =/
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.
spam,74355 XMAS iscoming & ur awarded either å£500 CD gift vouchers & free entry 2 r å£100 weekly draw txt MUSIC to 87066 TnC
ham,Ugh my leg hurts. Musta overdid it on mon.
ham,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-).."
ham,Lol u still feeling sick?
ham,Those cocksuckers. If it makes you feel better ipads are worthless garbage novelty items and you should feel bad for even wanting one
ham,"Sorry im getting up now, feel really bad- totally rejected that kinda me thing."
ham,How are you holding up?
ham,"HEY THERE BABE, HOW U DOIN? WOT U UP 2 2NITE LOVE ANNIE X."
ham,"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it..."
ham,Siva is in hostel aha:-.
ham,Lol yep did that yesterday. Already got my fireplace. Now its just another icon sitting there for me.
ham,"I hav almost reached. Call, i m unable to connect u."
ham,"K give me a sec, breaking a  &lt;#&gt;  at cstore"
ham,Then Ì_ wait 4 me at bus stop aft ur lect lar. If i dun c Ì_ then i go get my car then come back n pick Ì_.
spam,This message is brought to you by GMW Ltd. and is not connected to the
ham,Maybe you should find something else to do instead???
ham,Then dun wear jeans lor...
ham,"She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife,"
ham,Da my birthdate in certificate is in april but real date is today. But dont publish it. I shall give you a special treat if you keep the secret. Any way thanks for the wishes
ham,U should make a fb list
ham,Our Prasanth ettans mother passed away last night. Just pray for her and family.
ham,No problem. We will be spending a lot of quality time together...
ham,Of course. I guess god's just got me on hold right now.
spam,You have WON a guaranteed å£1000 cash or a å£2000 prize. To claim yr prize call our customer service representative on 08714712379 between 10am-7pm Cost 10p
ham,Oh my God. I'm almost home
ham,My computer just fried the only essential part we don't keep spares of because my fucking idiot roommates looovvve leaving the thing running on full  &lt;#&gt; /7
ham,But we havent got da topic yet rite?
spam,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906 
ham,"We made it! Eta at taunton is 12:30 as planned, hope thatÛ÷s still okday?! Good to see you! :-xx"
spam,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
ham,"It,,s a taxt massage....tie-pos argh ok! Lool!"
ham,Yup... From what i remb... I think should be can book... 
ham,"Usf I guess, might as well take 1 car"
ham,Take care and sleep well.you need to learn to change in life.you only need to get CONVINCED on that.i will wait but no more conversations between us.GET CONVINCED by that time.Your family is over for you in many senses.respect them but not overemphasise.or u have no role in my life.
ham,Yeah my usual guy's out of town but there're definitely people around I know
ham,I am on the way to tirupur.
spam,"Orange brings you ringtones from all time Chart Heroes, with a free hit each week! Go to Ringtones & Pics on wap. To stop receiving these tips reply STOP."
ham,"Will do, you gonna be at blake's all night? I might be able to get out of here a little early"
ham,What can i do? Might accidant tookplace between somewhere ghodbandar rd. Traffic moves slovely. So plz slip &amp; don't worry.
ham,Dont worry. I guess he's busy.
ham,Not yet had..ya sapna aunty manege y'day hogidhe..chinnu full weak and swalpa black agidhane..
ham,I am in a marriage function
spam,Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552. 2End send STOP 8552 SAM xxx
ham,"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, being 'SIMPLE' is very difficult.. Gud nte.:-"
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!
ham,"Hello. Sort of out in town already. That . So dont rush home, I am eating nachos. Will let you know eta."
ham,They will pick up and drop in car.so no problem..
ham,"Mum, i've sent you many many messages since i got here. I just want to know that you are actually getting them. Do enjoy the rest of your day."
ham,I am late. I will be there at
spam,Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence
ham,On the way to office da..
ham,Eek that's a lot of time especially since American Pie is like 8 minutes long. I can't stop singing it.
ham,"Have a lovely night and when you wake up to see this message, i hope you smile knowing all is as should be. Have a great morning"
ham,Ya but it cant display internal subs so i gotta extract them
